location_id,window_start,window_end,pm25_avg,samples
9718,2021-08-09 11:00:00,2021-08-09 11:15:00,10.0,1
9696,2021-08-09 11:00:00,2021-08-09 11:15:00,6.0,1
9950,2021-08-09 11:00:00,2021-08-09 11:15:00,1.0,1
9556,2021-08-09 11:00:00,2021-08-09 11:15:00,10.0,1
43311,2021-08-09 11:00:00,2021-08-09 11:15:00,63.0,1
9228,2021-08-09 11:00:00,2021-08-09 11:15:00,15.0,1
10463,2021-08-09 11:00:00,2021-08-09 11:15:00,7.0,1
43387,2021-08-09 11:00:00,2021-08-09 11:15:00,8.0,1
43565,2021-08-09 11:00:00,2021-08-09 11:15:00,44.0,1
43419,2021-08-09 11:00:00,2021-08-09 11:15:00,14.0,1
7647,2021-08-09 11:00:00,2021-08-09 11:15:00,10.0,1
9903,2021-08-09 11:00:00,2021-08-09 11:15:00,28.0,1
43308,2021-08-09 11:00:00,2021-08-09 11:15:00,6.0,1
10418,2021-08-09 11:00:00,2021-08-09 11:15:00,24.0,1
9109,2021-08-09 11:00:00,2021-08-09 11:15:00,11.0,1
9267,2021-08-09 11:00:00,2021-08-09 11:15:00,10.0,1
43639,2021-08-09 11:00:00,2021-08-09 11:15:00,22.0,1
9045,2021-08-09 11:00:00,2021-08-09 11:15:00,16.0,1
9117,2021-08-09 11:00:00,2021-08-09 11:15:00,8.0,1
43356,2021-08-09 11:00:00,2021-08-09 11:15:00,15.0,1
43641,2021-08-09 11:00:00,2021-08-09 11:15:00,16.0,1
10153,2021-08-09 11:00:00,2021-08-09 11:15:00,6.0,1
9072,2021-08-09 11:00:00,2021-08-09 11:15:00,12.0,1
7018,2021-08-09 11:00:00,2021-08-09 11:15:00,44.0,1
43293,2021-08-09 11:00:00,2021-08-09 11:15:00,18.0,1
9679,2021-08-09 11:00:00,2021-08-09 11:15:00,12.0,1
9129,2021-08-09 11:00:00,2021-08-09 11:15:00,13.0,1
43475,2021-08-09 11:00:00,2021-08-09 11:15:00,37.0,1
10036,2021-08-09 11:00:00,2021-08-09 11:15:00,3.0,1
43551,2021-08-09 11:00:00,2021-08-09 11:15:00,23.0,1
6542,2021-08-09 11:00:00,2021-08-09 11:15:00,27.0,1
10156,2021-08-09 11:00:00,2021-08-09 11:15:00,25.0,1
10204,2021-08-09 11:00:00,2021-08-09 11:15:00,27.0,1
10217,2021-08-09 11:00:00,2021-08-09 11:15:00,9.0,1
9275,2021-08-09 11:00:00,2021-08-09 11:15:00,12.0,1
9066,2021-08-09 11:00:00,2021-08-09 11:15:00,47.0,1
10171,2021-08-09 11:00:00,2021-08-09 11:15:00,34.0,1
43492,2021-08-09 11:00:00,2021-08-09 11:15:00,19.0,1
9118,2021-08-09 11:00:00,2021-08-09 11:15:00,32.0,1
43540,2021-08-09 11:00:00,2021-08-09 11:15:00,53.0,1
9972,2021-08-09 11:00:00,2021-08-09 11:15:00,53.0,1
6277,2021-08-09 11:00:00,2021-08-09 11:15:00,22.0,1
9321,2021-08-09 11:00:00,2021-08-09 11:15:00,14.0,1
9006,2021-08-09 11:00:00,2021-08-09 11:15:00,14.0,1
9002,2021-08-09 11:00:00,2021-08-09 11:15:00,9.0,1
10467,2021-08-09 11:00:00,2021-08-09 11:15:00,24.0,1
7862,2021-09-29 01:00:00,2021-09-29 01:15:00,1.0,1
2513,2021-10-01 15:00:00,2021-10-01 15:15:00,3.0,1
41388,2021-11-10 17:00:00,2021-11-10 17:15:00,4.8,1
41398,2021-11-11 17:00:00,2021-11-11 17:15:00,6.5,1
6462,2021-12-09 00:00:00,2021-12-09 00:15:00,5.3,1
26176,2022-02-09 00:00:00,2022-02-09 00:15:00,19.0444788336842,1
938279,2022-02-09 00:00:00,2022-02-09 00:15:00,16.9488480951616,1
60660,2022-07-11 05:15:00,2022-07-11 05:30:00,17.5,1
428,2022-07-26 01:00:00,2022-07-26 01:15:00,6.1,1
602,2022-09-30 04:00:00,2022-09-30 04:15:00,5.9,1
10851,2022-10-16 15:45:00,2022-10-16 16:00:00,23.3,1
12044,2022-10-16 15:45:00,2022-10-16 16:00:00,47.5,1
309803,2022-10-16 16:00:00,2022-10-16 16:15:00,20.0,1
368800,2022-10-28 02:00:00,2022-10-28 02:15:00,10.365,1
368885,2022-10-28 04:00:00,2022-10-28 04:15:00,9.551,1
10831,2022-10-31 00:45:00,2022-10-31 01:00:00,238.0,1
6964,2022-10-31 01:45:00,2022-10-31 02:00:00,115.58,1
358456,2022-10-31 01:45:00,2022-10-31 02:00:00,86.11,1
7282,2022-10-31 01:45:00,2022-10-31 02:00:00,154.81,1
6965,2022-10-31 02:00:00,2022-10-31 02:15:00,57.0,1
227387,2022-10-31 02:00:00,2022-10-31 02:15:00,107.6,1
911,2022-11-22 23:00:00,2022-11-22 23:15:00,0.2,1
411408,2022-12-18 12:00:00,2022-12-18 12:15:00,18.053,1
235239,2023-01-26 20:00:00,2023-01-26 20:15:00,1.0,1
5277,2023-02-16 00:00:00,2023-02-16 00:15:00,7.0,1
5222,2023-04-05 20:00:00,2023-04-05 20:15:00,26.0,1
368982,2023-04-27 08:00:00,2023-04-27 08:15:00,11.761,1
225658,2023-06-13 00:00:00,2023-06-13 00:15:00,9.7,1
368929,2023-06-22 06:00:00,2023-06-22 06:15:00,0.012,1
2020,2023-06-30 13:00:00,2023-06-30 13:15:00,4.0,1
8729,2023-07-12 20:00:00,2023-07-12 20:15:00,16.0,1
1066107,2023-07-27 14:00:00,2023-07-27 14:15:00,11.7,1
368808,2023-09-23 12:00:00,2023-09-23 12:15:00,14.0,1
5333,2023-09-23 12:00:00,2023-09-23 12:15:00,24.7,1
5786,2023-09-23 12:00:00,2023-09-23 12:15:00,16.0,1
5802,2023-09-23 12:00:00,2023-09-23 12:15:00,27.3,1
5781,2023-09-23 12:00:00,2023-09-23 12:15:00,6.6,1
368804,2023-09-23 12:00:00,2023-09-23 12:15:00,15.0,1
5379,2023-09-23 12:00:00,2023-09-23 12:15:00,86.6,1
3517,2023-09-23 12:00:00,2023-09-23 12:15:00,11.0,1
5779,2023-09-23 12:00:00,2023-09-23 12:15:00,23.2,1
368842,2023-09-23 12:00:00,2023-09-23 12:15:00,21.1,1
5788,2023-09-23 12:00:00,2023-09-23 12:15:00,12.5,1
5780,2023-09-23 12:00:00,2023-09-23 12:15:00,10.0,1
5813,2023-09-23 12:00:00,2023-09-23 12:15:00,0.4,1
368926,2023-10-11 10:00:00,2023-10-11 10:15:00,29.65,1
368834,2023-10-11 10:00:00,2023-10-11 10:15:00,5.989,1
3548,2023-10-11 10:00:00,2023-10-11 10:15:00,6.279,1
368851,2023-10-11 10:00:00,2023-10-11 10:15:00,22.168,1
1785693,2023-11-23 06:00:00,2023-11-23 06:15:00,13.6,1
1939486,2023-12-09 17:00:00,2023-12-09 17:15:00,0.0,1
447564,2023-12-20 08:00:00,2023-12-20 08:15:00,8.01206,1
3937,2024-01-12 10:00:00,2024-01-12 10:15:00,17.1,1
2732,2024-01-15 12:00:00,2024-01-15 12:15:00,27.0,1
8444,2024-01-29 17:00:00,2024-01-29 17:15:00,11.6,1
4509,2024-01-29 18:00:00,2024-01-29 18:15:00,23.70000076,1
2920,2024-01-29 19:00:00,2024-01-29 19:15:00,9.0,1
5216,2024-01-29 19:00:00,2024-01-29 19:15:00,23.327,1
5195,2024-01-29 19:00:00,2024-01-29 19:15:00,12.225,1
4920,2024-01-29 20:00:00,2024-01-29 20:15:00,9.75,1
9361,2024-01-29 20:00:00,2024-01-29 20:15:00,9.67868954,1
225817,2024-02-02 12:00:00,2024-02-02 12:15:00,17.609,1
3422,2024-03-04 10:00:00,2024-03-04 10:15:00,6.07340002,1
230803,2024-03-08 06:00:00,2024-03-08 06:15:00,0.486,1
921044,2024-03-10 18:30:00,2024-03-10 18:45:00,11.13,1
8782,2024-03-11 12:00:00,2024-03-11 12:15:00,5.1,1
1785689,2024-03-12 10:00:00,2024-03-12 10:15:00,10.418,1
226310,2024-03-12 10:00:00,2024-03-12 10:15:00,5.946,1
225400,2024-03-12 11:00:00,2024-03-12 11:15:00,0.204,1
2599501,2024-03-15 17:00:00,2024-03-15 17:15:00,7.0,1
2578981,2024-03-15 20:00:00,2024-03-15 20:15:00,45.3,1
2604830,2024-03-16 04:00:00,2024-03-16 04:15:00,33.0,1
2608457,2024-03-29 09:00:00,2024-03-29 09:15:00,24.06944465637207,1
